UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Target,Failure Type,Air temperature [K]_rolling_mean,Air temperature [K]_rolling_std,Process temperature [K]_rolling_mean,Process temperature [K]_rolling_std,Rotational speed [rpm]_rolling_mean,Rotational speed [rpm]_rolling_std,Torque [Nm]_rolling_mean,Torque [Nm]_rolling_std,Tool wear [min]_rolling_mean,Tool wear [min]_rolling_std,Air temperature [K]_lag_1,Air temperature [K]_lag_3,Air temperature [K]_lag_5,Process temperature [K]_lag_1,Process temperature [K]_lag_3,Process temperature [K]_lag_5,Rotational speed [rpm]_lag_1,Rotational speed [rpm]_lag_3,Rotational speed [rpm]_lag_5,Torque [Nm]_lag_1,Torque [Nm]_lag_3,Torque [Nm]_lag_5,Tool wear [min]_lag_1,Tool wear [min]_lag_3,Tool wear [min]_lag_5,torque_speed_interaction,failure_label
22,L47201,L,-0.6024172079894964,-0.47555368847852436,-0.49519472815262355,0.4828330496792433,-0.706210829833155,0,No Failure,298.82000000000005,0.08366600265380587,309.26000000000005,0.05477225575209558,1434.6,122.37156532462924,44.019999999999996,7.864286363046541,54.6,6.348228099241552,298.9,298.8,298.6,309.3,309.2,309.2,1375.0,1306.0,1311.0,42.7,54.5,46.6,58.0,50.0,44.0,64959.99999999999,0
23,M14882,M,-0.5524211743618752,-0.47555368847852436,0.23552569533966383,-0.9316316705893005,-0.6747894674682174,0,No Failure,298.86,0.05477225575117979,309.28000000000003,0.04472135955203418,1468.8,136.81995468498008,41.04,9.719979423846528,58.2,6.058052492344383,298.8,298.9,298.7,309.3,309.3,309.2,1450.0,1632.0,1410.0,44.8,32.5,45.6,63.0,55.0,47.0,48536.7,0
24,L47203,L,-0.5024251407342256,-0.4081528028729957,1.222834969829243,-1.4332149047270821,-0.627657423920811,0,No Failure,298.9,0.07071067811923416,309.32,0.044721359552259796,1559.2,150.95595384084726,35.28,8.157327993896045,61.8,5.263078946776306,298.9,298.9,298.8,309.3,309.3,309.2,1581.0,1375.0,1306.0,30.7,42.7,54.5,65.0,58.0,50.0,45180.6,0
25,M14884,M,-0.5024251407342256,-0.4081528028729957,0.12396532534084133,-0.26954180152742907,-0.5962360615558734,0,No Failure,298.91999999999996,0.08366600265391287,309.34000000000003,0.05477225575246984,1545.0,145.64168359367454,36.239999999999995,8.029819425117855,64.8,4.658325879540847,299.0,298.8,298.9,309.4,309.3,309.3,1758.0,1450.0,1632.0,25.7,44.8,32.5,68.0,63.0,55.0,58225.299999999996,0
26,L47205,L,-0.5024251407342256,-0.3407519172674287,1.7973708753231787,-1.6739748571132171,-0.549104018008467,0,No Failure,298.93999999999994,0.08944271910047556,309.38,0.0836660026548347,1642.2,164.74434739923552,32.36,8.779977220927181,67.8,3.962322551231792,299.0,298.9,298.9,309.4,309.3,309.3,1561.0,1581.0,1375.0,37.3,30.7,42.7,70.0,65.0,58.0,43361.3,0
27,L47206,L,-0.452429107106576,-0.3407519172674287,-0.1493575811562738,-0.09900350192058306,-0.5176826556435293,0,No Failure,299.0,0.07071067811935174,309.41999999999996,0.08366600265498586,1654.6,148.15971112282853,31.2,6.909413868049897,70.2,3.962322551231792,299.0,299.0,298.8,309.5,309.4,309.3,1861.0,1758.0,1450.0,23.3,25.7,44.8,73.0,68.0,63.0,58968.0,0
28,H29441,H,-0.452429107106576,-0.4081528028729957,1.5184699503261225,-1.5435632162373938,-0.48626129327859174,0,No Failure,299.04,0.05477225575146325,309.43999999999994,0.05477225575306269,1700.6,155.13639160429122,29.98,7.530405035587413,72.6,3.6469165057620967,299.1,299.0,298.9,309.5,309.4,309.3,1512.0,1561.0,1581.0,39.0,37.3,30.7,75.0,70.0,65.0,44550.600000000006,0
29,L47208,L,-0.452429107106576,-0.4081528028729957,-0.556552931651976,0.42264306158271003,-0.40770788736624775,0,No Failure,299.06000000000006,0.0547722557514866,309.44,0.05477225575306269,1636.8,187.78764602603653,33.68,9.250243240045105,75.4,4.505552130427526,299.1,299.0,299.0,309.4,309.5,309.4,1811.0,1861.0,1758.0,24.6,23.3,25.7,77.0,73.0,68.0,63603.8,0
30,L47209,L,-0.5024251407342256,-0.4081528028729957,0.8602637673330699,-0.991821658685834,-0.37628652500131016,0,No Failure,299.06000000000006,0.0547722557514866,309.43999999999994,0.05477225575306269,1663.2,183.70138812758057,32.239999999999995,9.105108456245878,78.2,4.658325879540847,299.1,299.1,299.0,309.4,309.5,309.4,1439.0,1512.0,1561.0,44.2,39.0,37.3,82.0,75.0,70.0,50959.3,0
31,M14890,M,-0.452429107106576,-0.3407519172674287,-1.1143547816460884,0.8239096488929353,-0.34486516263637257,0,No Failure,299.08000000000004,0.04472135955121842,309.43999999999994,0.05477225575306269,1558.8,191.3562123370966,37.220000000000006,9.777627524098062,80.8,4.658325879540847,299.0,299.1,299.0,309.4,309.4,309.5,1693.0,1811.0,1861.0,30.1,24.6,23.3,84.0,77.0,73.0,64539.8,0
32,L47211,L,-0.5024251407342256,-0.4081528028729957,1.445955709826888,-1.4532782340925934,-0.29773311908896616,0,No Failure,299.06,0.0547722557514866,309.41999999999996,0.04472135955294774,1616.0,215.13716554793595,34.52,10.95613983116317,83.6,4.505552130427526,299.1,299.1,299.1,309.5,309.4,309.5,1339.0,1439.0,1512.0,48.2,44.2,39.0,86.0,82.0,75.0,45849.0,0
33,L47212,L,-0.5024251407342256,-0.4081528028729957,-0.6681133016507984,0.8339413135756903,-0.26631175672402857,0,No Failure,299.04,0.05477225575146325,309.41999999999996,0.04472135955294774,1537.6,196.96903309911434,39.260000000000005,10.715549449281632,86.4,3.6469165057620967,299.0,299.0,299.1,309.4,309.4,309.4,1798.0,1693.0,1811.0,25.5,30.1,24.6,89.0,84.0,77.0,68537.7,0
34,L47213,L,-0.5524211743618752,-0.47555368847852436,0.7040792493347183,-0.7510617062996991,-0.23489039435909095,0,No Failure,299.0,0.07071067811938038,309.4,0.07071067812040727,1582.8,194.60267212964987,36.92,10.644341219634025,88.6,3.6469165057620967,299.0,299.1,299.1,309.4,309.5,309.4,1419.0,1339.0,1439.0,48.3,48.2,44.2,91.0,86.0,82.0,54112.5,0
35,M14894,M,-0.6024172079894964,-0.61035545968962,0.11280928834095907,-0.530365083279075,-0.20346903199415334,0,No Failure,298.96,0.11401754251035484,309.34000000000003,0.15165750888168958,1556.0,184.60227517557848,37.839999999999996,10.091977011468067,90.8,3.492849839314601,298.9,299.0,299.0,309.3,309.4,309.4,1665.0,1798.0,1693.0,32.5,25.5,30.1,93.0,89.0,84.0,54097.3,0
36,M14895,M,-0.6024172079894964,-0.5429545740840913,-0.4840386911527413,0.8640363076239577,-0.15633698844674693,0,No Failure,298.9,0.10000000000046905,309.28000000000003,0.13038404810464288,1578.6,156.11310002687154,37.92,10.195685361955809,93.2,3.492849839314601,298.8,299.0,299.1,309.1,309.4,309.5,1559.0,1419.0,1339.0,34.7,48.3,48.2,95.0,91.0,86.0,70567.2,0
37,M14896,M,-0.5524211743618752,-0.5429545740840913,0.23552569533966383,-0.32973178962396227,-0.10920494489934053,0,No Failure,298.88,0.08366600265396257,309.23999999999995,0.114017542510457,1535.2,99.92096877032363,40.160000000000004,7.71284642657948,95.6,3.974921382870363,298.8,298.9,299.0,309.2,309.3,309.4,1452.0,1665.0,1798.0,48.6,32.5,25.5,98.0,93.0,89.0,58022.700000000004,0
38,L47217,L,-0.6024172079894964,-0.61035545968962,-0.556552931651976,-0.07894017255507152,-0.062072901351934134,0,No Failure,298.84000000000003,0.05477225575137244,309.18,0.08366600265385804,1539.2,94.35147057677473,38.339999999999996,6.246038744676497,98.2,4.438468204234434,298.9,298.8,299.0,309.2,309.1,309.4,1581.0,1559.0,1419.0,36.7,34.7,48.3,101.0,95.0,91.0,56408.8,0
39,H29452,H,-0.5524211743618752,-0.5429545740840913,-0.8912340416484434,1.074701265961826,-0.03065153898699653,0,No Failure,298.84,0.05477225575137244,309.15999999999997,0.05477225575104026,1482.0,85.27602242131131,41.980000000000004,7.2192104831484025,100.8,4.438468204234434,298.8,298.8,298.9,309.1,309.2,309.3,1439.0,1452.0,1665.0,39.2,48.6,32.5,104.0,98.0,93.0,69915.3,0
40,L47219,L,-0.6024172079894964,-0.61035545968962,-1.052996578146736,1.255271230251427,0.04790186692534748,0,No Failure,298.84000000000003,0.05477225575137244,309.15999999999997,0.05477225575104026,1440.2,89.22835872075643,45.540000000000006,7.119901684714447,104.0,4.949747468305838,298.9,298.9,298.8,309.2,309.2,309.1,1379.0,1581.0,1559.0,50.7,36.7,34.7,106.0,101.0,95.0,70875.0,0
41,L47220,L,-0.6024172079894964,-0.61035545968962,-0.9860603561474425,0.5430230377757772,0.07932322929028508,0,No Failure,298.84000000000003,0.05477225575137244,309.14,0.054772255750901444,1422.2,95.13516699938037,44.9,6.917008023705022,107.0,4.949747468305838,298.8,298.8,298.8,309.1,309.1,309.2,1350.0,1439.0,1452.0,52.5,39.2,48.6,111.0,104.0,98.0,61834.799999999996,0
42,L47221,L,-0.6024172079894964,-0.61035545968962,-0.9525922451477957,1.0847329306445812,0.11074459165522269,0,No Failure,298.82,0.04472135955107146,309.12,0.0447213595503103,1379.6,34.818098741889905,47.72,5.458662839926966,109.8,4.658325879540852,298.8,298.9,298.9,309.1,309.2,309.2,1362.0,1379.0,1581.0,45.4,50.7,36.7,113.0,106.0,101.0,69494.4,0
43,M14902,M,-0.6024172079894964,-0.61035545968962,-0.9525922451477957,0.9141946310377358,0.1421659540201603,0,No Failure,298.82,0.04472135955107146,309.12,0.0447213595503103,1365.4,10.573551910308726,49.7,2.687936011143019,112.4,4.219004621945803,298.8,298.8,298.8,309.1,309.1,309.1,1368.0,1350.0,1439.0,50.8,52.5,39.2,115.0,111.0,104.0,67168.8,0
44,H29457,H,-0.6024172079894964,-0.5429545740840913,-0.9302801711480313,0.8540046429412019,0.18929799756756668,0,No Failure,298.8,0.0,309.12,0.0447213595503103,1364.0,8.602325267042263,49.26,2.663268668384671,115.2,3.4928498393146006,298.8,298.8,298.9,309.1,309.1,309.2,1368.0,1362.0,1379.0,49.1,45.4,50.7,117.0,113.0,106.0,66542.0,0
45,M14904,M,-0.6024172079894964,-0.61035545968962,-0.37247832115391877,0.7536879961136456,0.2678514034799107,0,No Failure,298.8,0.0,309.12,0.0447213595503103,1388.4,46.870033070182394,48.26,1.9982492337042175,118.0,4.690415759823432,298.8,298.8,298.8,309.2,309.1,309.1,1372.0,1368.0,1350.0,48.5,50.8,52.5,120.0,115.0,111.0,69920.0,0
46,L47225,L,-0.6024172079894964,-0.61035545968962,-0.2776520066549197,0.9141946310377358,0.3149834470273171,0,No Failure,298.8,0.0,309.12,0.0447213595503103,1413.8,61.20620883537872,49.0,1.1999999999997781,121.0,5.43139024560011,298.8,298.8,298.8,309.1,309.1,309.1,1472.0,1368.0,1362.0,47.5,49.1,45.4,125.0,117.0,113.0,73109.90000000001,0
47,M14906,M,-0.652413241617146,-0.677756345295187,1.6969665423242386,-1.4231832400443263,0.3464048093922547,0,No Failure,298.78000000000003,0.04472135955114137,309.1,0.07071067811876182,1508.8,194.91972706732378,44.0,10.195096860746329,124.0,5.43139024560011,298.8,298.8,298.8,309.1,309.2,309.1,1489.0,1372.0,1368.0,49.1,48.5,50.8,128.0,120.0,115.0,47549.4,0
48,L47227,L,-0.6024172079894964,-0.61035545968962,-0.6736913201507395,0.6333080199205777,0.3935368529396611,0,No Failure,298.78,0.04472135955114137,309.1,0.07071067811876182,1518.8,187.0125664226872,43.44,9.918064327276753,127.2,4.969909455915674,298.7,298.8,298.8,309.0,309.1,309.1,1843.0,1472.0,1368.0,25.8,47.5,49.1,130.0,125.0,117.0,65653.4,0
49,H29462,H,-0.6024172079894964,-0.5429545740840913,-0.6346451906511517,1.3957145358100058,0.4249582153045987,0,No Failure,298.78000000000003,0.04472135955114137,309.1,0.07071067811876182,1529.4,177.89125891959955,44.519999999999996,10.85642666810768,130.2,3.9623225512317943,298.8,298.8,298.8,309.1,309.1,309.2,1418.0,1489.0,1372.0,46.3,49.1,48.5,133.0,128.0,120.0,76807.5,0
50,M14909,M,-0.5524211743618752,-0.5429545740840913,-0.7071594311503863,0.4126113968999543,0.5035116212169427,0,No Failure,298.8,0.0707106781193633,309.12,0.08366600265357482,1517.4,184.62746274593064,43.839999999999996,10.728839639028987,133.2,4.658325879540855,298.8,298.7,298.8,309.2,309.0,309.1,1425.0,1843.0,1472.0,53.9,25.8,47.5,135.0,130.0,125.0,62269.200000000004,0
51,L47230,L,-0.5524211743618752,-0.61035545968962,7.375389375264303,-3.54989615278852,0.5506436647643491,1,Power Failure,298.82,0.08366600265399994,309.12,0.08366600265357482,1791.8,625.3652532720379,34.94,19.852531324745463,136.2,5.263078946776318,298.9,298.8,298.8,309.2,309.1,309.1,1412.0,1418.0,1489.0,44.1,46.3,49.1,140.0,133.0,128.0,13160.599999999999,1
52,L47231,L,-0.5524211743618752,-0.61035545968962,-0.8689219676486789,1.496031182637562,0.5820650271292868,0,No Failure,298.86,0.054772255751402286,309.14,0.05477225575089561,1699.8,649.3271132487846,40.760000000000005,20.748445724921172,139.2,5.118593556827907,298.9,298.8,298.7,309.1,309.2,309.0,2861.0,1425.0,1843.0,4.6,53.9,25.8,143.0,135.0,130.0,75926.7,0
53,H29466,H,-0.6024172079894964,-0.677756345295187,-0.23302785865539066,0.382516402851687,0.6134863894942243,0,No Failure,298.86,0.054772255751402286,309.12,0.08366600265357482,1715.6,641.6718787667105,40.26,20.611234800467432,142.0,4.690415759823449,298.9,298.9,298.8,309.1,309.2,309.1,1383.0,1412.0,1418.0,54.9,44.1,46.3,145.0,140.0,133.0,65568.59999999999,0
54,L47233,L,-0.652413241617146,-0.677756345295187,0.14627739934060582,-0.49023842454805255,0.6920397954065683,0,No Failure,298.84000000000003,0.08944271910053354,309.08000000000004,0.08366600265342365,1743.6,628.7454174783304,36.5,19.164941951386126,145.4,4.505552130427543,298.8,298.9,298.8,309.0,309.1,309.2,1497.0,2861.0,1425.0,43.8,4.6,53.9,147.0,143.0,135.0,54931.5,0
55,L47234,L,-0.652413241617146,-0.677756345295187,0.8491077303331875,-0.991821658685834,0.723461157771506,0,No Failure,298.8,0.10000000000048893,309.0400000000001,0.054772255750341683,1799.4,603.8466692795448,33.7,18.796143221416457,148.2,4.658325879540866,298.7,298.9,298.9,309.0,309.1,309.2,1565.0,1383.0,1412.0,35.1,54.9,44.1,152.0,145.0,140.0,50899.100000000006,0
56,L47235,L,-0.6024172079894964,-0.61035545968962,-0.1493575811562738,0.07153479768626296,0.7548825201364435,0,No Failure,298.78,0.08366600265400545,309.04,0.054772255750341683,1529.6,111.99017814076375,40.92,9.417112083860943,150.8,4.658325879540866,298.7,298.8,298.9,309.0,309.0,309.1,1691.0,1497.0,2861.0,30.1,43.8,4.6,154.0,147.0,143.0,61538.4,0
57,L47236,L,-0.6024172079894964,-0.61035545968962,-0.3445882286542132,0.24207309729310825,0.7863038825013812,0,No Failure,298.76,0.054772255751461295,309.03999999999996,0.054772255750341683,1548.4,86.13245613588414,38.42,5.705874166155422,153.4,4.219004621945817,298.8,298.7,298.9,309.1,309.0,309.1,1512.0,1565.0,1383.0,40.7,35.1,54.9,156.0,152.0,145.0,62624.799999999996,0
58,L47237,L,-0.6024172079894964,-0.61035545968962,-0.14377956265633265,0.03140813895523986,0.8177252448663187,0,No Failure,298.76000000000005,0.054772255751461295,309.06,0.05477225575044546,1551.6,84.01666501355552,37.72,5.058853625081463,156.0,3.162277660168403,298.8,298.7,298.8,309.1,309.0,309.0,1477.0,1691.0,1497.0,42.4,30.1,43.8,158.0,154.0,147.0,60973.899999999994,0
59,M14918,M,-0.6024172079894964,-0.677756345295187,0.6817671753349538,-1.0520116467823681,0.8491466072312563,0,No Failure,298.78000000000003,0.044721359551113546,309.06000000000006,0.05477225575044546,1570.8,97.69953940526027,36.6,6.260990336999401,158.0,3.162277660168403,298.8,298.8,298.7,309.1,309.1,309.0,1513.0,1512.0,1565.0,40.3,40.7,35.1,160.0,156.0,152.0,48999.5,0
60,L47239,L,-0.6024172079894964,-0.61035545968962,-0.8968120601483845,1.445872859223784,0.8962786507786628,0,No Failure,298.8,0.0,309.08000000000004,0.0447213595500418,1508.2,101.62529212750142,41.459999999999994,8.850028248542474,160.2,3.49284983931462,298.8,298.8,298.7,309.0,309.1,309.0,1661.0,1477.0,1691.0,29.5,42.4,30.1,162.0,158.0,154.0,74963.2,0
61,L47240,L,-0.6024172079894964,-0.61035545968962,-0.8131417826492676,1.265302894934183,0.9277000131436004,0,No Failure,298.8,0.0,309.08000000000004,0.0447213595500418,1484.4,113.72686577937513,43.839999999999996,10.105592511080177,162.4,3.6469165057621176,298.8,298.8,298.8,309.1,309.1,309.1,1378.0,1513.0,1512.0,54.4,40.3,40.7,165.0,160.0,156.0,73271.8,0
62,M14921,M,-0.6024172079894964,-0.677756345295187,0.2968838988390162,-0.17925681938262783,0.9591213755085379,0,No Failure,298.8,0.0,309.06000000000006,0.05477225575044546,1507.4,123.09874085464888,43.0,10.42473021233642,164.6,3.6469165057621176,298.8,298.8,298.8,309.1,309.0,309.1,1393.0,1661.0,1477.0,52.6,29.5,42.4,167.0,162.0,158.0,60814.4,0
63,L47242,L,-0.6024172079894964,-0.677756345295187,1.618874283325063,-1.7141015158442399,1.0062534190559445,0,No Failure,298.8,0.0,309.04,0.054772255750341683,1570.6,189.76116567938766,39.52,13.882254860072255,167.0,3.807886552931978,298.8,298.8,298.8,309.0,309.1,309.1,1592.0,1378.0,1513.0,38.2,54.4,40.3,169.0,165.0,160.0,41884.1,0
64,M14923,M,-0.5524211743618752,-0.677756345295187,1.5240479688260637,-1.4131515753615709,1.037674781420882,0,No Failure,298.82,0.044721359550957844,309.04,0.054772255750341683,1600.8,217.70323837738383,38.8,14.606334242375794,169.4,3.6469165057621176,298.8,298.8,298.8,309.0,309.1,309.0,1829.0,1393.0,1661.0,22.9,52.6,29.5,172.0,167.0,162.0,46930.799999999996,0
65,L47244,L,-0.5024251407342256,-0.61035545968962,-0.08799937765692141,-0.13913016065160544,1.0848068249682883,0,No Failure,298.86,0.08944271910037427,309.03999999999996,0.054772255750341683,1629.8,188.2729401693191,35.64,11.833553988553044,171.8,3.9623225512318085,298.9,298.8,298.8,309.0,309.0,309.1,1812.0,1592.0,1378.0,25.9,38.2,54.4,174.0,169.0,165.0,58787.8,0
66,L47245,L,-0.5024251407342256,-0.61035545968962,-0.8075637641493265,0.5129280437275106,1.116228187333226,0,No Failure,298.9,0.10000000000024949,309.04,0.054772255750341683,1630.0,187.95877207515485,34.14,9.363920119266268,174.2,3.9623225512318085,299.0,298.8,298.8,309.1,309.0,309.1,1523.0,1829.0,1393.0,38.6,22.9,52.6,177.0,172.0,167.0,62869.4,0
67,M14926,M,-0.5524211743618752,-0.7451572309007539,0.782171508333894,-1.1322649642444131,1.1476495496981636,0,No Failure,298.91999999999996,0.0836660026536513,309.02,0.08366600265323001,1647.4,187.58811262977196,32.239999999999995,9.29774166128526,176.6,3.6469165057621176,299.0,298.9,298.8,309.1,309.0,309.0,1394.0,1812.0,1592.0,45.1,25.9,38.2,179.0,174.0,169.0,48187.299999999996,0
